Participant,Age,Gender,Playing Instrument,Studying Music,Performing Musically,Daily Music Interaction,Musicality Value,Date,Time,Years,Avg Age,M/F,,,,,,,,,,,,,,,,,,,,,,,,
29,25,M,4.50,0.00,3.00,3.00,2.500,04-10,12:17,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,22,M,4.50,0.50,4.50,3.00,3.167,04-10,12:38,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,22,M,4.50,4.50,4.50,1.50,4.500,04-10,13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,24,M,4.50,3.00,0.00,0.50,2.500,04-10,13:22,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,M,4.50,3.00,1.50,0.50,3.000,04-10,14:02,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,24,F,4.50,3.00,3.00,1.50,3.500,04-10,15:40,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,24,F,4.50,4.50,1.50,4.00,3.500,04-10,16:10,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,25,M,4.50,4.50,4.50,3.00,4.500,05-10,15:11,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,35,M,4.50,4.50,3.00,1.50,4.000,05-10,16:07,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,29,M,4.50,3.00,4.50,1.50,4.000,06-10,12:19,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,31,M,4.50,4.50,4.50,1.50,4.500,06-10,12:43,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,24,M,4.50,4.50,4.50,3.00,4.500,09-10,12:34,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,25,M,4.50,0.00,3.00,0.50,2.500,10-10,13:20,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,25,M,4.50,4.50,4.50,4.50,4.500,11-10,12:01,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,27,F,4.50,4.50,4.50,3.00,4.500,11-10,12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
